光學字符識別	OCR
無趣	unengaging\tuninteresting
無趣地	uninterestingly
無足的	apod
無足輕重	nonentity
無跨度	spanless
無路的	pathless
無軌電車	trolleybus
無軌的	trackless
無辜	innocent\tguiltless
無辜地	innocently\tguiltlessly
無辜者	innocents
無邊	brimless
無邊便帽	skullcap
無邊帽	toque
無連接	connectionless
無遺囑	intestacy
無遺囑的	intestate
無遮蓋的	uncovered
無酒精	nonalcoholic
無酵餅	matzos\tmatzoth
無重音	unaccented
無重音的	atonic
無野心	unambitious
無鑰匙	keyless
無問題	issueless
無防備	unguarded\tdefenseless
無防禦	undefended
無防禦的	defenceless
無陽光的	sunless
無陰的	shadeless
無階級的	classless
無阻尼	undamped
無阻礙	unhindered
無阻礙的	unimpeded
無限	infinitum\tinfinitude
無限雲	InfiniCloud
無限制地	unrestrictedly
無限制的	unrestricted\tunrestrictive
無限地	infinitely
無限期	indefinitely
無限的	infinite\tunbounded
無雄蕊	anandrous
無鞍	bareback
無韻的	rhymeless
無頂的	roofless
無領的	collarless
無風的	windless
無馬的	horseless
無齒的	toothless
無龍骨的	keelless
既得的	vested
既成	foregone
既然	sith
既視感	déjà vu
日產	nissan
日元	yen
日光	Nikko\tdaylight
日光儀	heliograph
日光浴	sunbathe
日光浴室	solarium
日光療法	heliotherapy
日內瓦	Geneva
日內瓦人	genevan
日冕	corona
日出	sunup\tsunrise
日曆	cal\tcalendar
日曆協議	CalDAV
日場	matinee
日始	daystart
日子	days
日射強度計	pyrheliometer
日常	everyday\tquotidian
日式角色扮演遊戲	JRPG\tJapanese Role-Playing Game
日德蘭	Jutland
日心的	heliocentric
日誌	log\tjournal
日誌序列	logseq
日誌文件	logfile
日託	daycare
日報	dailies
日曬	insolation\tsolarisation
日曬處理	solarize\tsolarise
日晷	sundial
日晷指針	gnomon
日月	solunar
日期	date
日期時間	datetime
日期標記	datemark
日期線	dateline
日期錯誤	misdate
日本	Japan\tNippon
日本動畫製作協會	MAPPA
日本化	japanise\tNipponize
日本化的	Japanized
日本學	japanology
日本的	Japanese
日益	increasingly
日立	Hitachi
日耳曼尼亞	Germania
日耳曼敦	Germantown
日耳曼的	Germanic
日落	sunset\tsundown
日薪	diem
日記	diary\tdaybook
日記作者	diarist
日課經	breviary
日間牀	daybed
日食	eclipse
舊書目錄	backlist
舊收件人	oldrecipient
舊石器時代	Paleolithic
早	early
早於	predate\tantedate
早午餐	brunch
早晨	morn
早晨的	matutinal
早熟	precocity\tearliness
早熟的	rareripe\tprecocial
早餐	breakfast
早餐者	breakfaster
旱生植物	xerophyte
旱生的	xeric
旱谷	arroyo
旱金蓮	tropaeolum\tnasturtium
旱鴨子	landlubber
時代	era\tepoch
時代精神	zeitgeist
時代錯誤	anachronism
時代錯誤地	anachronistically
時代錯誤的	anachronistic
時代集	epochs
時刻	moment
時刻地	momently
時刻表	timetable
時區	timezone
時尚	fad\tfash
時尚販子	fashionmonger
時常	oftentimes
時序數據庫	InfluxDB\tTimescaleDB
時效性	currentness
時期	period
時機	timing
時裝	couture
時鐘	clock
時間	time
時間偏移	timeshift
時間尺度	timescale
時間戳	ts\tTS
時間服務器	timeserver
時間機器	Time Machine
時間生物學	chronobiology
時間的	temporal
時間線	timeline
時間膠囊	Time Capsule
時間表	schedule
時髦	chic\ttony
時髦作風	dandyism
時髦地	chicly\tnobbily
時髦的	hep\tjazzy
時髦者	swinger
曠工	absenteeism
旺盛	exuberance
旺盛的	exuberant
旺達	wanda
昂貴	expensive\tcostliness
昂貴地	expensively
昂貴的	costly\tpricey
昂首闊步	strut\tSwagger
昂首闊步地	swaggeringly
昆士蘭	Queensland
昆寧	Kuenning
昆蟲	insect
昆蟲學	entomology
昆蟲學家	entomologist
昆蟲學的	entomological
昆西	quincy
昌西	Chauncey
昌迪加爾	Chandigarh
明亮地	brightly\tluminously
明亮的	bright\tluminous
明信片	postcard
明喻	simile
明基	BenQ
明天	tomorrow
明尼蘇達人	minnesotan
明尼蘇達州	Minnesota
明尼阿波利斯	Minneapolis
明希豪森	munchausen
明文	plaintext
明斯克	Minsk
明斯基	Minsky
明斯特乾酪	Muenster
明星地位	stardom
明顯	obvious\tpatency
明顯地	plainly\tvisibly
明顯性	obviousness
明顯的	evident\tapparent
明智	wise
明智地	wisely\tsanely
明智的	politic\tsensible
明暗對照	chiaroscuro
明朝	ming
明治	Meiji
明白	understood
明白了	gotcha
明目張膽	flagrancy
明礬	alum
明確	explicit\tdefinite
明確地	expressly\tdecidedly
明確性	definiteness\texplicitness
明膠	gelatin\tgelatine
昏倒	faints\tfainted
昏厥	swoon\tfainting
昏昏欲睡地	drowsily
昏暗	murk\tdimness
昏暗地	dimly\tmurkily
昏暗的	dingy\tmurky
昏沉的	groggy
昏睡	sopor\tlethargy
昏睡的	soporous
昏迷	coma\tstupor
昏迷的	comatose\tstuporous
易丟失的	losable
易事	cinch\tpushover
易於	apt
易享	EasyShare
易傾斜的	tippy
易興奮性	excitability
易興奮的	excitable
易卜生	Ibsen
易受	prone
易受傷害的	vulnerable
易受影響地	susceptibly
易受影響的	susceptive\tsusceptible
易受損的	damageable
易受暗示	suggestibility
易受騙的	dupable\tgullible
易變地	changeably
易變的	volatile\tchangeable
易忘地	forgettably
易忘的	forgettable
易怒	irritability\tirascibility
易怒地	crabbily
易怒的	shirty\ttetchy
易怒者	sorehead
易噁心的	squeamish
易驚的	skittish
易感性	impressibility\tsusceptibility
易感的	impressible
易打滑的	skiddy
易接受地	receptively
易接受性	receptiveness
易接受的	receptive
易撕裂的	lacerable
易操作的	wieldy
易洛魁人	Iroquois
易洛魁語	iroquoian
易消化	digestible
易液化的	liquescent
易溶的	diffluent
易潮解的	deliquescent
易燃性	inflammability
易燃的	tindery\tflammable
易犯罪的	peccable
易碎品	breakables
易碎性	friability\tfrangibility
易碎的	cracky\tfriable
易腐品	perishables
易腐性	corruptibility
易腐的	perishable\tcorruptible
易被引誘的	seducible
易裂的	fissile
易說服	persuadable
易趣	ebay
易趣網	etsy
易迅	expansys
易錯	mistakable
易錯性	fallibility
易錯的	fallible
星雲	nebula\tnebulae
星雲的	nebular
星體的	astral\tstellar
星光	starlight
星光照耀的	starlit
星號	asterisk
星商	starsmerchant
星子	planetesimal
星塵	stardust
星巴克	starbucks
星座	horoscopes\tconstellation
星座羣	constellations
星形的	stelliform
星星	star
星期一	Mondays
星期三	Wednesday
星期二	Tuesday
星期五	fri\tfri.
星期六	sat.\tSaturday
星期四	Thursday
星期日	Sunday
星火	Genspark
星狀的	starlike\tstellate
星系	galaxies
星系間	intergalactic
星網	starknet
星羣	asterism
星象羅盤	astrocompass
星際	interstellar
星際之門	Stargate
星際文件系統	IPFS\tInterPlanetary File System
星際的	interplanetary
映射	mapping
映射器	mapper
映照	mirrored\tmirroring
春化	jarovize\tjarovise
春天	spring\tspringtime
春天的	vernal
春藥	philtre
昧良心	unconscionable
昨天	yesterday
是	is\tbe
是否	whether
是的	yep\tyah
昴宿星團	Pleiades
暱稱	petname\tnickname
晝夜平分點	equinox
晝夜平分的	equinoctial
晝夜節律	circadian
晝行	diurnal
顯像管	kinescope
顯卡品牌	GeForce
顯微圖	micrograph
顯微術	microscopy\tmicrography
顯微照片	microphotograph
顯微鏡	microscope
顯微鏡學家	microscopist
顯靈	apport
顯然	obviously
顯然地	evidently\tapparently
顯現	manifested\tmanifesting
顯眼的	conspicuous
顯示	display\tmanifest
顯示中	displaying
顯示器	displayer
顯示服務器	xorg
顯示管理器	SDDM
顯著	marked
顯著地	notably\tmarkedly
顯著的	notable\tsalient
顯要	notables\tdignitary
顯貴	magnifico
顯赫	eminence
晉升	promotion\tpreferment
晉升軍銜	breveted\tbreveting
晉升者	promotee
曬傷	sunburn
曬太陽	bask\tsunning
曬乾的	sunbaked
曬暈的	sunstruck
曬過的	sunned
曬黑	tan\tsuntan
曬黑的	tanned\tsunburnt
暈厥	syncope
暈機	airsick
暈機症	airsickness
暈海寧	Dramamine
暈船	seasick
暈車	carsick\tcarsickness
晚上	evening
晚會	soiree
晚禱	vesper\tevensong
晚禱的	vesperal
晚餐	dinner\tsupper
晚餐時間	dinnertime
晨星	daystar
晨禱	matin
普世主義	universalism
普世主義者	universalist
普世性	catholicity
普京	putin
普蘭維尤	Plainview
普蘭菲爾德	Plainfield
普利特龍	plitron
普利策	Pulitzer
普利茅斯	Plymouth
普盧米	Pulumi
普及	universalise\tpopularization
普及化	universalize
普吉島	phuket
普契尼	Puccini
普爾	pul\tPoole
普爾曼	Pullman
普爾曼化	Pullmanize
普拉多	Prado
普拉提	pilates
普拉斯基	Pulaski
普拉特	Pratt
普拉特河	Platte
普拉特維爾	Prattville\tPlatteville
普拉達	prada
普拉麥克斯韋	pramaxwell
普朗克	Planck
普林尼	Pliny
普桑	Poussin
普渡	Purdue
普特	pood
普特南	Putnam
普瑞納	Purina
普羅克斯邁爾	Proxmire
普羅克特	Procter
普羅克魯斯忒斯	Procrustes
普羅塞庇娜	Proserpine
普羅康	procomm
普羅旺斯	Provence
普羅旺斯語	provençal\tprovencal
普羅科菲耶夫	Prokofiev\tProkofieff
普羅米修斯	Prometheus
普羅米修斯式	Promethean
普西	Pusey
普貝克	purbeck
普通人	everyman
普通性	commonness
普通的	ordinary
普通話	mandarin
普遍	popularly\tprevalence
普遍地	universally\tprevalently
普遍性	ubiquity\tgenerality
普遍概念	universals
普遍的	rife\tprevalent
普里斯特利	Priestley
普里查德	Pritchard
普里西拉	Priscilla
普里阿摩斯	Priam
普雷斯利	Presley
普雷斯科特	Prescott
普雷斯頓	Preston
普韋布洛	Pueblo
普魯卡因	procaine
普魯塔克	Plutarch
普魯士	Prussia
普魯士化	Prussianization
普魯士化者	Prussianizer
普魯士的	Prussian
普魯斯特	Proust
景天	sedum
景泰藍	cloisonné\tcloisonne
景點	sights
景觀	landscape
景觀化	landscaped
景觀設計	landscaping
景象	sight\tspectacle
晴朗	unclouded\tsunniness
晴朗的	sunny
晴雨表	weatherglass
晶體	crystalloid
晶體學	crystallography
晶體管	transistor
晶體管化	transistorise\ttransistorize
晶洞	geode
晶片機	Transputer
晶石的	sparry\tspathic
晶簇	druse
智人	sapiens
智利	Chile
智利人	Chilean
智力	intellect\tbrainpower
智力上	intellectually
智力低下者	retardate
智力的	intellectual
智力缺陷	amentia
智力缺陷者	ament
智商	IQ\tiq
智性的	noetic
智慧	wisdom\tsapience
智慧的	sapient\tsapiential
智者	sage\tsagem
智勝	outwit\toutfox
智能	intelligence
智能合約	Smart Contract
智能手機	smartphone
智能設備管理	IDM
晾乾	roughdry
晾曬	airing
晾衣夾	clothespin
晾衣架	airer\tclotheshorse
晾衣繩	clothesline
暫停	pause\tsuspend
暫停的	suspended
暫定的	provisory
暫時	momentarily\ttransitorily
暫時地	temporally\ttemporarily
暫時性	temporality
暫時的	transitory
暖房	housewarming
暗中	covertly
暗中的	darkling
暗室	darkroom
暗指	allude
暗殺	assassinate\tassassination
暗殺中	assassinating
暗殺了	assassinated
暗殺者	assassinator
暗流	undercurrent
暗淡	dim
暗淡的	subfusc
暗示	hint\timply
暗示中	hinting
暗示了	hinted
暗示地	suggestively
暗示性	allusiveness
暗示的	implied\tallusive
暗示着	implying
暗箱的	scioptic
暗色巖	whinstone
暗褐的	fuscous
暗視儀	scotoscope
暗語	codeword
暗跡管	skiatron
暗黑主題	darcula\tOne Dark
暗黑破壞神	diablo
暮光	twilight
暴亂活動	rioting
暴亂者	rioter
暴力	violence
暴力地	violently
暴力猴	Violentmonkey
暴力的	violent
暴發戶	upstart\tparvenu
暴君	tyrant\tdespot
暴徒	thug\tthuggee
暴怒	conniption
暴政	misrule\ttyranny
暴民	mob
暴民統治	mobocracy\tochlocracy
暴民統治的	ochlocratic
暴民般的	mobbish
暴漲	stonk
暴虐	tyrannous
暴虐的	tyrannical
暴虐統治	tyrannise\ttyrannize
暴行	outrages\tatrocity
暴跌	slump\tplummet
暴跌中	plummeting
暴躁	crankier\ttestiness
暴躁地	testily\tcrustily
暴躁的	testy\tcranky
暴雨	downpour\trainstorm
暴露	baring\texpose
暴露的	exposed
暴風雨	tempest
暴風雨中	storming
暴風雨的	stormy
暴風雪	bizzard\tblizzard
暴食	overeat\tgluttony
暴食症	bulimia
暴飲暴食	crapulence
暴龍	Tyrannosaurus
暹羅	Siam
暹羅的	Siamese
曝光不足	underexpose\tunderexposure
曲折	zigzag\ttortuosity
曲折的	tortuous
曲木	bentwood
曲柄	crank
曲柄銷	crankpin
曲棍球	hockey
曲率	curvature
曲目	repertoire
曲線	curve
曲線的	curvilinear
曲線美的	curvaceous
曲線金融	Curve Finance
曲解	misconstrue\tmisconstruction
曲言法	litotes
曲調	tune
曲軸	crankshaft
曲軸箱	crankcase
曲馬多	tramadol
更不幸	unhappier
更不明智	unwiser
更不用說	fortiori
更醜	uglier
更絲滑	silkier
更嚴厲	harsher
更嚴格	stricter
更嚴重	graver
更嚴重的	severer
更豐滿	plumper
更亂	messier
更亮	brighter
更便利	handier
更便宜	cheaper
更假	phonier
更健壯	haler
更健康	healthier
更僵硬	stiffer
更光滑	slicker
更公平	fairer
更內疚	guiltier
更冷	colder\tchillier
更準備的	readier
更刺耳的	tinnier
更刻薄的	meaner
更勇敢	braver
更卑劣	baser
更厚	thicker
更友善	kinder
更友好	friendlier
更可取	preferable
更可愛的	lovelier
更可能	likelier
更同性戀	gayer
更吵	noisier
更鹹	saltier
更響亮	louder\tsounder
更喜愛	fonder
更堅定	firmer
更坦率	franker
更壯	stouter
更多	more
更多雪	snowier
更大	bigger
更大的	larger\tgreater
更大膽的	bolder
更奇怪	odder
更奇怪的	queerer\tcuriouser
更好	nicer\tbetter
更好者	betters
更孤獨	lonelier
更安全	safer
更安靜	quieter
更宏偉	grander
更容易	easier
更寬	broader
更寬的	wider
更密集的	denser
更富有	richer
更小	littler
更小的	tinier
更少	scarcer
更少的	scantier
更平滑	smoother
更平靜	calmer
更年期	menopause
更年輕	younger
更幸運	luckier
更廣闊	vaster
更弱的	weaker
更強	stronger
更強大	mightier
更強硬	tougher
更微妙	subtler
更微小	minuter
更微弱	fainter
更忙的	busier
更快	faster\tsooner
更快樂	happier
更惡劣	nastier
更悲傷	sadder
更憤怒	angrier
更憤怒的	furiouser
更懶	lazier
更抱歉	sorrier
更挑剔	fussier
更損失	lossier
更敏感	touchier
更敏捷	nimbler
更整潔	neater
更新	update
更新世	Pleistocene
更新中	updating
更新器	updater
更新日誌	changelog
更新鮮	fresher
更明智	wiser
更昏暗	murkier
更暖的	warmer
更暗	darker
更暴風雨的	stormier
更有彈性	springier
更樸素	plainer\thomelier
更松	looser
更棕	browner
更模糊	vaguer\tfuzzier
更模糊的	foggier
更殘忍	crueler
更毛的	hairier
更油的	oilier
更活潑的	zippier
更淘氣	naughtier
更深	deeper
更清晰	clearer
更溫和	gentler
更溫順	meeker
更溼	wetter
更滑稽	funnier
更滿	fuller
更漂亮	prettier
更激烈的	fiercer
更灰	greyer\tgrayer
更熱	hotter
更熱衷的	keener
更狡猾	sneakier\tshiftier
更理智	saner
更甜	sweeter
更生的	rawer
更瘋狂	crazier
更疲倦的	wearier
更疼的	sorer
更病	sicker
更瘦	leaner
更白	whiter
更直	straighter
更真實的	truer
更短	shorter
更硬	harder
更禮貌	politer
更稀有	rarer
更稀疏	sparser
更穩	steadier
更穩定	stabler
更窮	poorer
更空白的	blanker
更空的	emptier
更窄	narrower
更笨	dumber
更簡單的	simpler
更粉	pinker
更粗俗的	grosser
更粗糙	cruder\trougher
更粗糙的	coarser
更粗魯的	ruder
更粘	stickier
更精細	finer
更糟	worse
更緊湊	compacter
更緊張的	tenser
更緊的	tighter
更紫	purpler
更紅	redder
更純淨	purer
更綠的	greener
更綠草	grassier
更老的	older
更聾	deafer
更聰明	smarter\tcleverer
更骯髒	filthier
更胖	fatter\tchubbier
更能幹	abler
更脆	crunchier
更髒	dirtier\tdustier
更自由	freer
更舒適	cozier\thomier
更節省者	sparer
更蒼白	paler
更苗條	slenderer
更苦	bitterer
更英俊	handsomer
更荒涼	bleaker
更藍	bluer
更蓬鬆的	fluffier
更薄	thinner
更虛弱	feebler
更裸露	barer
更謙遜	humbler
更貴	dearer
更軟	softer
更輕快	brisker
更迅速	swifter
更近	nearer
更近的	closer
更遠	farther
更遲鈍	duller
更邪惡的	eviller
更酸	sourer
更醉	drunker
更重	heavier
更野的	wilder
更野蠻者	savager
更鈍	blunter
更鋒利	sharper
更長	longer
更悶	stuffier
更陰暗	shadier
更陰的	cloudier
更陡的	steeper
更靜	stiller
更餓	hungrier
更驕傲的	prouder
更高	taller
更高興	gladder
更高的	higher
更高貴	nobler
更黃	yellower
更黑	blacker
曼	Mann
曼丹人	mandan
曼利	Manley
曼努埃爾	Manuel
曼哈頓	Manhattan
曼哈頓化	Manhattanize
曼密蘋果	mammee
曼島貓	manx
曼巴	mamba
曼弗雷德	Manfred
曼徹斯特	Manchester
曼德	maund
曼德勃羅	Mandelbrot
曼德拉草	mandrake
曼斯	Mans
曼斯菲爾德	Mansfield
曼森	manson
曼波舞	mambo
曼特斯	mantes
曼科夫斯基	Mankowski
曼維爾	Manville
曼荼羅	mandala
曼薩尼塔	manzanita
曼西	Muncie
曼谷	bangkok
曼迪	mandy
曼陀林	mandolin
曼陀羅	datura\tjimsonweed
曾經	ever
曾經的	onetime
替代	stead\tsubstitute
替代品	ersatz
替代方案	alternatives
替代的	vicarious\talternative
替代者	surrogate\talternates
替換	replace\treplacement
替換者	replacer
替罪羊	Patsy\tPatsies
替補	benched
最	most
最上面的	uppermost
最下	undermost
最下層	nethermost
最不幸	unhappiest
最不明智	unwisest
最醜	ugliest
最東的	easternmost
最絲滑	silkiest
最嚴格	strictest
最嚴重	gravest
最嚴重的	severest
最中間的	midmost
最亂	messiest
最亮	brightest
最親愛	dearest
最優性	optimality
最低	lowest
最低點	nadir\trockbottom
最佳	optima\toptimum
最佳地	optimally
最佳的	optimal
最便利	handiest
最便宜	cheapest
最值得	worthiest
最假	phoniest
最健康	healthiest
最僵硬	stiffest
最公平	fairest
最內疚	guiltiest
最冷	coldest
最準備的	readiest
最初	initially\toriginally
最刻薄的	meanest
最前面的	headmost
最勇敢的	bravest
最北的	northernmost
最卑微	lowliest
最南端	southernmost
最厚	thickest
最友善	kindest
最友好	friendliest
最可愛	cutest
最可愛的	loveliest
最可能	likeliest
最右	rightmost
最合適的	fittest
最同性戀	gayest
最後	last\tlastly
最後的	backmost
最後通牒	ultimatum
最後面的	rearmost\taftermost
最鹹	saltiest
最響亮	loudest\tsoundest
最圓	roundest
最堅定	firmest
最堅定的	staunchest
最坦率	frankest
最壯	stoutest
最外	outermost
最多葉的	leafiest
最多汁的	juiciest
最多雨	rainiest
最多雪	snowiest
最大	max\tmaximum
最大值	maxima
最大化	maximize\tmaximise
最大化器	maximizer
最大化的	maximized
最大的	largest\tmaximal
最大程度地	maximally
最大膽的	boldest
最奇怪	oddest\tstrangest
最奇怪的	queerest\tcuriousest
最奇特的	fanciest
最好	nicest\tpreferably
最好的	best
最孤獨	loneliest
最安全	safest
最安靜	quietest
最宏偉	grandest
最容易	easiest
最寬	broadest
最寬的	widest
最密集的	densest
最富	richest
最富有的	wealthiest
最小	min\tsmallest
最小值	minima\tminimum
最小化	minimize\tminimise
最小化器	minimizer
最小化的	minimized
最小地	minimally
最小的	minimal\ttiniest
最小訂單量	MOQ
最小量	minim
最少	least\tfewest
最少的	scantiest
最左的	leftmost
最差	worst\trankest
最常見的	commonest
最乾燥	driest
最平滑	smoothest
最平的	flattest\tlevellest
最平靜	calmest
最年輕	youngest
最年長的	eldest
最幸運	luckiest
最廣闊	vastest
最底	bottommost
最底層	lowermost
最弱的	weakest
最強	strongest
最強大的	mightiest
最強硬	toughest
最微妙	subtlest
最微小的	merest\ttinniest
最微弱	faintest
最忙	busiest
最快	fastest\tsoonest
最快樂	gladdest\thappiest
最快樂的	merriest
最快的	fleetest
最性感	sexiest
最惡劣	nastiest
最悲傷	saddest
最愚蠢	silliest
最愚蠢的	stupidest
最憤怒	angriest
最慢	slowest
最懶	laziest
最懶的	idlest
最抱歉	sorriest
最損失	lossiest
最敏感	touchiest
最整潔	neatest
最整齊的	trimmest
最新	newest
最新的	latest\tup-to-date
最新鮮	freshest
最方的	squarest
最早	earliest
最明智	wisest
最暖的	warmest
最暗	darkest
最暗的	dimmest
最暴躁	crankiest
最暴風雨的	stormiest
最有價值球員	MVP
最有彈性	springiest
最服務器	serverest
最末	endmost
最樸素	plainest
最松	loosest
最棕	brownest
最模糊	vaguest
最模糊的	foggiest
最止住的	stanchest
最殘忍	cruelest
最油的	oiliest
最深	deepest
最深刻的	profoundest
最深處	inmost\tinnermost
最清晰	clearest
最清潔	cleanest
最溫和	mildest\tgentlest
最溫順	meekest
最溼	wettest
最滑稽	funniest
最滿	fullest
最漂亮	prettiest
最激烈的	fiercest
最灰	grayest\tgreyest
最熱	hottest
最熱衷的	keenest
最熱誠的	heartiest
最愛	fave\tfavorite
最狡猾	sneakiest\tshiftiest
最理智	sanest
最甜	sweetest
最生的	rawest
最瘋狂	craziest
最瘋狂的	maddest
最疲倦的	weariest
最疼的	sorest
最病	sickest
最瘦	leanest
最白	whitest
最直	straightest
最真實	realest
最真實的	truest\tveriest
最真誠	sincerest
最短	shortest
最硬	hardest
最禮貌	politest
最稀有	rarest
最稀疏	sparsest
最穩	steadiest
最窮	poorest
最空白的	blankest
最空的	emptiest
最窄	narrowest
最笨	dumbest
最簡單的	simplest
最簡樸	homeliest
最簡短	briefest
最粉	pinkest
最粗俗的	grossest
最粗糙	crudest\troughest
最粗糙的	coarsest
最粗魯的	rudest
最粘	stickiest
最精明	shrewdest
最精煉	pithiest
最精細	finest
最緊湊	compactest
最緊張的	tensest
最緊的	tightest
最紫	purplest
最紅	reddest
最純淨	purest
最終	finally\tultimately
最終外殼	FinalShell
最終的	final\tultimate
最終確定	finalizes\tfinalized
最終音節	ultima
最綠的	greenest
最綠草	grassiest
最老的	oldest
最聾	deafest
最聰明	smartest\tcleverest
最骯髒	filthiest
最骯髒的	foulest
最胖	fattest\tchubbiest
最能幹	ablest
最脆	crunchiest
最髒	dirtiest\tdustiest
最自由	freest
最舒適	homiest
最節省	sparest
最蒼白	palest
最苦	bitterest
最英俊	handsomest
最藍	bluest
最蓬鬆的	fluffiest
最薄	thinnest
最虛弱	feeblest
最虛弱的	frailest
最血腥的	bloodiest
最裸露	barest
最謙遜	humblest
最軟	softest
最輕微	slightest
最輕的	lightest
最輕量級	bantamweight
最迅速	swiftest\tpromptest
最近	lately\tnearest
最近的	recent\tclosest
最遠的	farthest\tfurthest
最遲鈍	dullest
最遙遠	remotest
最酷	coolest
最酸	sourest
最重	heaviest
最野的	wildest
最鈍	bluntest
最鋒利	sharpest
最長	longest
最悶	stuffiest
最陰暗	shadiest
最陰的	cloudiest
最陡的	steepest
最靜	stillest
最餓	hungriest
最驕傲的	proudest
最高	upmost\thighest
最高天	empyrean
最高的	topmost
最高級	superlative
最高評級	aaa
最高貴	noblest
最黃	yellowest
最黑	blackest
月	month
月亮	Moon\tluna
月亮的	lunar
月亮般	moonish
月份	months
月光	moonbeam\tmoonlight
月出	moonrise
月外的	translunary
月晦的	interlunar
月景	moonscape
月桂樹	laurel
月桂花環	baywreath
月照	moonlit
月牙	lune
月球學	selenology
月球船	moonship
月神編輯器	LunarVim
月經	menses\tmenstrual
月經期	menstruation
月長石	moonstone
月面圖	selenograph
月面學	selenography
月魚	moonfish
有	has\thad
有絲分裂	mitosis
有絲分裂的	mitotic
有義務的	obligated
有爭議	disputable\tcontroversial
有爭議的	disputed\tcontested
有產	propertied
有人居住的	inhabited
有價值地	valuably
有價值的	valuable
有信譽地	reputably
有假種皮的	arillate
有偏見的	biased\tprejudiced
有先例	precedented
有光澤的	lustrous
有凹口的	notched
有凹槽的	reeded\tfluted
有凹痕的	pitted
有刃的	edged
有創意的	inventive
有利	favorably\tfavourable
有利地	favourably\tadvantageously
有利性	conduciveness
有利的	gainful\tfavorable
有刺的	spined\tspinose
有前途的	promising
有力	forcefulness
有力地	mightily\tforcefully
有力的	forceful
有功地	meritoriously
有功的	meritorious
有動力的	motivated
有壓力的	stressed
有原則的	principled
有發芽力的	germinative
有葉的	lobed\tleaved
有同情心的	compassionate
有同理心的	empathetic
有吸引力的	attractive
有味的	sapid
有脣的	lipped
有商標的	branded
有喉的	throated
有喙的	beaked
有噴口的	spouted
有圍牆的	walled
有圖案的	figured\tpatterned
有墊的	cushioned
有城堡的	castled
有聲書	audiobook
有聲望的	reputable\tprestigious
有聲電影	talkie
有聲的	voiced
有外觀的	facaded
有天賦的	gifted
有頭動物	craniate
有頭腦的	brained\tmindminded
有頭銜的	titled
有夾層的	quilted
有孔蟲	foraminifer\tforaminifera
有字幕的	subtitled
有學問的	lettered
有害	harmful\thazardous
有害地	harmfully\tdamagingly
有害的	noxious\tbaneful
有尖牙的	fanged
有尺寸的	dimensioned
有尾的	tailed
有山牆的	gabled
有希望的	hopeful
有希望者	hopefuls
有幫助	helpfulness
有幫助地	helply\thelpfully
有幫助的	helpful\tinstrumental
有序的	ordered
有廊的	galleried
有彈性	springy
有彈性地	elastically
有彈性的	whippy\tbouncy
有形的	bodied\ttangible
有影響力地	influentially
有影響力的	influential
有德	virtuous
有德地	virtuously
有心的	hearted
有性生殖	zoogamy
有意義地	meaningfully
有意義的	meaningful
有意志的	willed
有意的	minded\tpurposed
有意識地	consciously
有意識的	conscious
有感染力的	catching
有或會	hadorwould
有房間的	roomed\tchambered
有才	talented
有摺痕的	creasy\tcreased
有護套的	jacketed
有報酬的	remunerative
有抱負的	aspiring\tambitious
有抱負者	aspirant
有指的	fingered
有損	lossy
有效	effective
有效地	validly\tusefully
有效性	validity\tvalidness
有效的	valid\teffectual
有效載荷	payload
有教養的	cultured\tcultivated
有教育意義地	instructively
有教育意義的	instructive
有文化	literate
有斑點的	spotty\tflecked
有新聞價值的	newsworthy
有時	sometimes
有機發光二極管	OLED
有機地	organically
有機玻璃	Plexiglas
有機的	organic
有條件地	conditionally
有條件的	conditioned\tconditional
有條理地	methodically
有條理的	methodical
有條紋	stripy\tstriped
有條紋的	banded\tstriated
有柄的	petiolate
有柱廊的	colonnaded
有柱的	pillared\tcolumned
有桅杆的	masted
有梗的	pedunculate
有棱紋的	ribbed
有棱角地	angularly
有棱角的	angular
有樓層的	Storeyed
有檐口的	corniced
有毒	toxic\tpoisonous
有毒的	venomous
有毛的	haired\tcrinite
有氣味的	odoriferous
有氧運動	cardio\taerobics
有溝的	sulcate\tfurrowed
有洞	holed
有洞察力地	discerningly
有洞察力的	discerning\tinsightful
有浮力的	buoyant
有點	sorta\tkinda
有點奇怪	oddish
有點漂亮	prettyish
有爪的	clawed
有特色的	featured
有理數	rationals
有瑕疵的	flawed
有生氣地	animately
有用	useful
有用性	usefulness
有界的	bounded
有痘痕的	pockmarked
有皮的	corticated
有皺領的	ruffed
有益	wholesome
有益健康	healthful
有益健康的	salubrious
有益地	rewardingly\tbeneficially
有益的	salutary\trewarding
有目的地	purposefully
有目的的	purposive\tpurposeful
有目的進化	telesis
有知覺的	sentient
有禮貌的	mannerly\tcourteous
有神論	theism
有神論的	theistic
有神論者	theist
有窗格的	paned
有豎框的	mullioned
有競爭力地	competitively
有競爭力的	competitive
有籬笆的	wattled
有紋理的	veined\tgrained
有線	wired
有線電視新聞網	CNN
有組織的	organised\torganized
有細胞的	celled
有經驗的	experienced
有絨毛的	villose
有結節的	tubercled
有繩	corded
有縫的	seamed
有缺陷地	faultily
有缺陷的	faulty\tdefected
有罪	guilty\tculpability
有罪地	culpably
有罪的	sinful\tculpable
有羽毛的	feathered
有翼的	alate\twinged
有耳廓的	auricled
有耳的	eared
有肋的	costate
有肌肉的	muscled
