#兼容所有拼音類型的公共簡碼庫	
gj	感覺	根據	關鍵
yvt	一整天	一整套	搖着頭
yvu	也只是	一隻手
yvx	一致性	嚴重性	一炷香
yvy	以至於	有助於	一轉眼
ywd	英偉達	一窩端
ywf	一窩蜂	燕尾服	也無法
ywq	冤枉錢	圓舞曲
ywu	以爲是	一晚上	醫務室
ywv	意味着	有完整
yxc	魚腥草	一小撮	有瑕疵
yxd	一想到	一小段	壓箱底
yxg	優先股	有效果
yxh	一席話	一小會	要學會
yxj	遊戲機	優先級	右下角
yxq	有興趣	有效期
yxr	有些人	有心人	一些人
yxu	一小時	意向書	也許是
yxz	一下子	要選擇
yyj	預言家	有意見	壓壓驚
yyq	游泳圈	一夜情
yyt	有一天	有一套	搖搖頭
yzl	原子量	又咋了	園子裏
zbd	做不到	在不斷
zbh	做不好	總不會
zbj	資本家	總編輯	再不濟
zbk	走不開	在半空
zbl	做不了	資本論	走不了
zbx	座標系	再不行
zbz	在不在	做不做
zdb	子弟兵	坐地板
vdd	知道的
zdh	自動化	最大化	做得好
zdl	做到了	遭到了	走丟了
sdt	死對頭
zdw	總噸位	在逗我
zdx	總擔心
zdy	自定義	總動員
zfi	字符串	再分成
zgi	走過場	在工廠
zgl	足夠了	走過來	做鬼臉
zgm	在幹嘛
zgq	走過去
zgr	最感人
zgz	自顧自	做工作	在工作
zhh	藏紅花	髒乎乎
zhk	最好看
zhl	做好了	載貨量
zhm	走後門
zht	再回頭	縱橫談
zhu	最好是	咋回事
zhx	綜合性	自畫像	在火星
zjd	自己的	總覺得	最近的
zjg	自己幹
zjl	總經理	增加了
zjn	早幾年
vju	這件事	浙江省	這就是
zjx	總結性	自覺性	在進行
zjy	自駕遊	自解壓
zlx	再聯繫
zly	坐落於	棕櫚油	自來也
zlz	坐落在	載流子	造輪子
zmb	怎麼辦	怎麼不
zmc	怎麼才
zmd	走馬燈	怎麼讀	在面對
zmg	怎麼搞	怎麼關	讚美歌
zmh	怎麼會	最美好
zmj	怎麼講	怎麼就	在民間
zml	怎麼了	子目錄	祖母綠
zmm	做買賣
zmn	怎麼能	怎麼弄
zmq	奏鳴曲	自貿區	在目前
zms	怎麼算	怎麼送
zmu	怎麼說	在面試
zmv	怎麼着	造夢者	怎麼找
zmx	怎麼寫	怎麼行	怎麼選
zmy	怎麼樣	怎麼用	在沒有
zmz	怎麼做	字幕組
znl	在哪裏
znn	在哪呢
zql	責權利	組起來
zqm	最起碼	最全面	在前面
zrh	自然會
zrm	自然碼
zrw	自認爲	總任務	則認爲
zrx	責任心	責任險
zth	座談會	紫藤花
ztx	走天下	坐天下
zub	座上賓	在身邊
zul	早說了
zvd	早知道	增長點	最終的
zvg	在這個
zvh	總指揮	子賬號
zvl	在這裏	增長率	自制力
zvn	在這呢
zvq	自治區	走着瞧	在之前
zxi	自行車	在現場
zxl	坐下來	在心裏
zxq	走下去	做下去
zyb	再也不	作業本
zyc	再一次	在一次	做一次
zyd	自由度	早一點	怎樣的
zyg	做一個	自由港
zym	座右銘	自由面
zyw	自以爲	總以爲	在野外
zyx	做一些	做一下
zyy	自由泳	作用域	總醫院
zzn	坐在那
zzx	自尊心	早自習
zzy	再怎樣
mgy	每個月	莫過於
aba	愛不愛	艾比安
abg	熬不過	阿兵哥
abj	矮半截	阿布賈
abl	阿波羅	埃博拉	按比例
abv	熬不住	按標準
acl	按錯了	愛錯了
ade	安道爾	奧多爾
aef	阿爾法	埃爾法
ael	愛爾蘭	奧爾良
afh	阿富汗	案發後
aft	阿凡提
agl	安哥拉
hgl	很給力	花光了	盎格魯
agt	阿根廷
agv	愛國者
ahu	安徽省
ail	按常理	按出來
ajl	安靜了	安吉拉
ajs	氨基酸
alb	阿拉伯	阿魯巴	按喇叭
ald	阿拉丁	愛勞動
alq	阿聯酋
alu	按理說	安祿山
aly	安樂椅	阿里雲	艾莉亞
amy	安眠藥	按摩椅
amz	愛面子
amv	愛慕者
aqg	安全感	愛情觀
aqh	愛琴海
aqj	安全局	愛清潔
aqp	愛情片	安全牌
aqx	安全性	安全線
aqz	安全組	挨槍子
asg	阿三哥
ask	奧斯卡	愛思考
asl	奧斯陸	愛死了
atj	凹透鏡	奧陶紀	凹凸鏡
atu	安徒生	阿圖什
aum	阿詩瑪	啊什麼
auu	愛誰誰	鞍山市
avb	安裝包	安裝版
awh	奧委會	安委會
ayw	哎呦喂	哎喲喂
azb	艾滋病
bbh	並不會	版本號	不包含
bbi	辦不成	不包喫
bbq	北半球	保不齊
bbt	棒棒糖	半邊天
bby	不必要	北冰洋	不包郵
bbx	並不想	百寶箱	不保險
bcl	不錯了	報錯了
bdv	變電站	別當真
bdz	半吊子	布袋子
bfh	暴發戶	百分號	不符合
bfy	暴風雨	不富裕
bfz	不負責	不復雜
bgd	不敢當	巴格達	不固定
bgm	幫個忙	不感冒
bhb	不會吧	刨花板	不好吧
bhh	白花花	保護好	不好喝
bjh	比較好	北極狐	不計劃
bjx	百家姓	八角形	北極熊
bjy	不經意	不建議	不均勻
bjz	敗家子	擺架子	包餃子
bky	不可以	不可用
blb	玻璃杯	白蘿蔔	拔蘿蔔
blc	不理睬	八里村
bld	便利店	白蘭地
blf	別浪費	布洛芬
blg	板藍根	撥浪鼓	巴拉圭
blh	博覽會	不靈活
blk	不離開	布魯克
bll	不聊了	白亮亮	不良率
blm	貝雷帽	爆冷門	菠蘿蜜
blq	保齡球	不留情	避雷器
bls	不利索	玻璃絲	辯論賽
blu	不論是	比利時
blw	芭蕾舞	寶萊塢	玻璃碗
bly	不利於	不樂意
bmb	不明白	報名表
bmn	本命年	白毛女
bmy	並沒有	不滿意	兵馬俑
bnl	別鬧了	不努力
bnv	白內障	幫你找
bps	不怕死	不配送
bpy	不便宜
bqd	不確定	不恰當
bqr	不求人	白切肉
bqt	包青天	白鰭豚	標籤貼
brv	不認賬	白日撞	不認真
buu	辦實事
bsw	波斯灣	不算晚
bsx	不死心	冰絲席
bte	白天鵝	擺攤兒
btf	白頭髮	不通風	不透風
btg	不太敢	不提供	不通過
bti	不提倡	半脫產	鼻涕蟲
btj	不推薦	不提交
btm	半透明	不透明
btq	趵突泉	不聽勸	不透氣
btt	扁桃體	半條腿
btu	半桶水	不挑食	不太熟
btw	白頭翁	別太晚	被投餵
bui	辦事處	不擅長
buw	不失爲	掰手腕	不是我
bvf	標識符	辯證法	補助費
bvj	保證金	不着急
bvm	不知名	標準煤	本週末
bwv	不完整	把握住	保衛戰
bxb	不行吧	便攜版	白血病
bxg	不習慣	不相干	不鏽鋼
bxm	不行嗎	不香嗎
bxp	必需品	便攜屏
bxx	不小心	不相信	不信邪
bxy	不需要	不屑於	不想要
byb	不一般	比一比	畢業班
byc	貶義詞	褒義詞
byd	不一定	不由得	比亞迪
byf	八月份	搬運費
byg	不應該	不用管
byj	不要緊	備用金
byl	不要臉	不用了	白眼狼
byt	不要太	病原體	避孕套
byu	畢業生	不要說	不用說
byw	本以爲	被譽爲
byx	不允許	不影響	必要性
byz	白羊座	布依族	擺樣子
bzh	不在乎
bzx	不自信	不在線	不在行
bzi	不贊成	不在場
bzj	不自覺	不在家
bzl	不早了	不自量	不做了
bzm	不怎麼	別做夢
bzq	不足取	變阻器
bzr	不自然	把責任
bzu	不再是	不早說
bzw	不作爲	被作爲
bzy	不足以	不在於	不在意
bzz	不自在	包糉子
cbd	猜不到	擦不掉
cbl	錯不了	參變量	測不了
cbu	纔不是	湊不上
cbv	藏不住	猜不着	存不住
cbz	錯別字	菜包子
ccc	猜猜猜	噌噌噌
cch	擦擦汗	擦擦灰
ccp	殘次品	從磁盤
cdl	次大陸	猜到了	猜對了
cgj	擦乾淨	踩過界
cgl	錯過了	採購量
chj	催化劑	纔回家
ckn	纔可能
cku	纔開始	參考書
clb	從來不	材料表
clc	擦了擦	材料倉
clx	策略性	磁力線	材料學
cmm	村民們	藏貓貓	草莓苗
cmq	催眠曲	從目前
cmr	聰明人	草木染
cmy	從沒有	催眠藥	纔沒有
cng	才能夠	慈寧宮
cql	藏起來	存起來
ctz	醋罈子	菜攤子	菜糰子
cub	次聲波	測試版
cvj	財政局	採摘節
cvy	側重於
ivy	出主意	成這樣	垂直於
cwh	村委會	財務會
cwl	錯誤率	測完了
cxf	磁懸浮	促銷費
cxy	磁效應	才需要	促銷員
cyb	搓衣板	蔥油餅
cyd	參與度	策源地	參與到
czg	存在感	操縱桿	曾做過
czt	操作檯	草字頭
dbd	得不到	對不對	動不動
dbf	大部分	蛋白粉
dbi	打不出	大巴車
dbj	等不及	低不就	都比較
dbk	打不開	躲不開
dbm	蛋白酶	道不明
dbr	倒不如	都不如
dbt	代表團	大白天	打白條
dbu	大別山	都不是	倒不是
dbv	蛋白質	對不住
dbx	代表性	電冰箱	都必須
dby	大本營	大半夜	都不用
dbz	代表作	帶不走
dcl	電磁爐	打錯了
ddl	得到了	大道理	達到了
ddp	電燈泡	打地鋪
ddq	對得起	迭代器	打蛋器
deb	第二步	第二遍
dec	第二次	第二層
deg	第二個	第二關
dem	第二名	第二幕
den	第二年	蒂爾尼
deq	大而全	第二期
dfb	電飯煲	定風波
dfd	大幅度	大飯店
dfg	電飯鍋	地方官	大法官
dfh	東方紅	大富豪
dfm	單方面	多方面	等方面
dfr	豆腐乳	東方人
dfv	地方誌	豆腐渣	大發展
dfx	大方向	地方性
dfy	丹鳳眼	當翻譯
dgb	打個包	當過兵
dgg	大哥哥	頂呱呱	打廣告
dgi	膽固醇	代工廠
dgm	大規模	大革命
dgn	多功能	等功能
dgq	打過去	道個歉	打官腔
dhg	讀後感	都會給
dhh	電火花	都很好	打哈哈
dhi	大合唱	大貨車
dhs	導火索	膽紅素
dih	倒春寒	調查和
dil	洞察力	打出了
dju	倒計時	膽結石	大街上
dkn	都可能	都困難
dlb	得了吧	大老闆
dlc	大老粗	第六次
dld	多倫多	頓了頓	大量的
dlg	第六感	打了個
dlh	低齡化	度量衡
dlj	多瞭解	鄧麗君
dll	帶來了	低利率	都來了
dlm	對立面	到了嗎
dlq	多了去	打籃球
dlr	代理人	大陸人
dlt	大冷天	大樂透	電路圖
dlu	大理石	道路上
dlx	獨立性	地理學	動力學
dly	大老遠	冬令營	獨立於
dlz	獨龍族	都來自	掉鏈子
dmc	代名詞	動名詞
dmq	獨木橋	但目前
dne	低能兒	丹尼爾
dnh	多年後	多瑙河	大男孩
dny	東南亞	大年夜	都能用
dpd	大排檔	大盤點
dpw	肚皮舞	杜培武
dpx	地平線	堆排序
dqc	大氣層	地球村	第七次
dqh	電氣化	到期後
dqs	道瓊斯	黛綺絲
dqv	當權者	第七章
dri	單人牀	丁汝昌
dsg	第三個	單色光	第四個
dsn	第三年	迪斯尼
dtb	大頭兵	跌停板	大踏步
dte	呆頭鵝	地攤兒
dth	洞庭湖	地攤貨
dtl	到頭來	代替了
dtq	大提琴	帶他去
dtt	大頭貼	斷頭臺	動態圖
dtv	打頭陣	地鐵站
dty	等同於	大團圓
dub	大手筆	多少遍	登山包
dvd	都知道	地質隊	但直到
dvg	對着幹	動真格	對中國
dvq	等着瞧	敵佔區	讀者羣
dvx	大閘蟹	大中型	地質學
dwk	吊胃口	對胃口
dww	大無畏	第五位
dwy	動物園	動物油	定位於
dxb	單行本	大小便	癲癇病
dxd	單行道	代銷店	典型的
dxe	店小二	杜雪兒
dxf	東西方	點下方
dxg	膽小鬼	大峽谷
dxh	都喜歡	燈下黑	低消耗
dxi	大學城	多線程
dxj	大小姐	電信局	大型機
dxl	掉下來	大學裏
dxm	大熊貓	刀削麪	點線面
dxq	掉下去	打下去
dxs	單相思	大像素
dxt	低血糖	多選題
dxu	大學生	地下室	對學生
dxx	大猩猩	大小寫	短消息
dxy	大西洋	都需要
dxz	東鄉族	到現在
dyb	第一步	第一遍
dyc	第一次	第一層
dyf	獨一份	第一份
dyg	第一個	都應該
dyi	打圓場	第一場
dyn	第一年	對於你
dyr	代言人	第一人
dyy	電影院	都一樣	得益於
dzh	大雜燴	釘子戶	到最後
dzq	電子琴	打砸搶
dzw	都在玩	地藏王	對自我
ebe	餓不餓	二百二
ebf	耳邊風	而並非
ebh	而不會	耳鼻喉	而變化
ebl	餓扁了	二比零
ebn	而不能	二百年
ebq	而不去	二不搶
ebs	而不是	餓不死	而伴隨
eby	而不用	而不應
edj	二等獎	二當家
edz	餓肚子	二等座
epg	阿房宮
ege	恩格爾
egt	二鍋頭
ehh	惡狠狠	誒嘿嘿
ehy	二合一	兒化音	而後又
eiu	二叉樹	二傳手	而產生
ejd	二季度	而降低
elt	二郎腿	二聯體
elu	鵝卵石	二郎神
emu	峨眉山	鵝毛扇	惡魔獸
enj	二年級
esl	餓死了	二三流
esu	二三十	二三事
etj	兒童節	二頭肌
eub	二十八	而是把
eud	二十多	二十點
eue	二十二	二是二
euj	二十九	二十幾
eul	二十六	惡勢力
eun	二十年
euq	二十七	而生氣
eus	二十歲	二十四	二十三
euw	二十五	二十萬
euy	二十一	而是要
euz	二世祖	二傻子	二十字
evi	二指禪	而著稱
exy	二選一
eyf	二月份
fbi	發不出	分不出	帆布牀
fbk	分不開	放不開
fbl	分辨率	發佈了
fbm	方便麪	方便嗎
fbq	分不清	分佈區	付不起
fbv	犯不着	防不住
fbx	放不下	封閉型	帆布鞋
fby	翻白眼	反編譯	服兵役
fcl	發錯了	發財了
fdd	反對黨	肥嘟嘟	發達的
fdg	梵蒂岡	分蛋糕
fdi	房地產	發電廠
fdm	防盜門	肺動脈
fdp	反對派	反動派
fdu	反倒是	浮點數	放大率
fdy	輔導員	副導演
fed	富二代	菲爾德
fes	凡爾賽
fib	非常棒	非出版
fid	非常多	非常大	非常道
fif	非處方	肥腸粉	風吹拂
fig	非常高	非常規
fii	非常差	罰出場
fij	放長假	副處級
fik	非常快	婦產科
fim	非常慢	非常忙	防沉迷
fin	非常難	範疇內
fiq	非常強	發出去
fir	非常熱	非常人	範純仁
fiu	方程式	房產稅	非常少
fiv	房產證	房產主	復仇者
fix	防潮箱	放長線
fjx	分界線	髮際線	風景線
fkd	防空洞	瘋狂地
fkp	防空炮	放空炮
fkz	方塊字	馮褲子
fla	氟利昂	法雷奧
fli	翻了車	翻了船	分離出
fll	法拉利	風裏來	負利率
flp	飛利浦	菲利普
flq	發令槍	費力氣	福利羣
fls	發牢騷	鳳梨酥
flw	法令紋	法老王
fly	福利院	傅立葉
flz	負離子	弗雷澤
fml	發黴了	放慢了
fmm	敷面膜	傅某某
fmp	非賣品	仿冒品
fmt	飛毛腿	富媒體
fmw	分泌物
fmy	駙馬爺	非貿易	腹膜炎
fnh	府南河	風怒號
fnj	婦女節	腓尼基
fpl	廢品率	分配率
fpq	發脾氣	分配權
fqd	夫妻店	分歧點
fqh	粉切黑	鳳求凰	風情畫
fqv	番茄鍾	番茄汁	肺氣腫
frd	副熱帶	法人的
frj	縫紉機	夫人家
fsr	煩死人
fss	非訴訟	風嗖嗖
fsx	發散性	粉碎性	分散性
ftj	伏特加	反貪局
fvf	反政府	反證法
fvh	法制化
fvv	發展中	腐殖質	副鎮長
fvy	分之一	非專業	非正義
fwi	俯臥撐	服務差
fxd	發祥地	風險低
fxg	方向感	馮小剛
fxj	法學家	撫卹金
fxs	法西斯	風穴寺
fxu	煩心事	法新社	分析師
fxy	飛行員	負效應	法學院
fyc	反義詞	方言詞
fyd	發源地	反應堆	複印店
fyg	發言稿	發一個	翻譯官
fyj	複印件	複印機	發郵件
fyl	反映了	發芽率	賦予了
fyq	發言權	翻譯器
fyx	發一下	防禦性	法醫學
fzg	負罪感	副總管
fzx	複雜性	犯罪學
fzy	副作用	反作用
gat	港澳臺	公安廳
gbb	乾巴巴	根本不
gbd	怪不得	搞不懂	搞不定
gbg	該不該	夠不夠	敢不敢
gbh	搞不好	工筆畫	更不會
gbi	高不成	構不成	改編成
gbj	趕不及	廣播劇
gbl	管不了	改變了
gbm	各部門	宮本茂
gbn	更不能	哥白尼
gbq	過不去	搞不清
gbt	戈壁灘	搞半天	更別提
gbu	更別說	跟不上	趕不上
gbv	高標準	管不住	管不着
gbx	根本性	鬼把戲
gby	過把癮	岡比亞	個把月
gbz	光膀子	蓋被子
gcu	高材生	高才生
gdp	高電平
gdq	過得去	各地區
gdu	廣東省	跟得上	趕得上
gdz	光電子	鬼點子
gfh	規範化	更符合
gfq	高峯期	管風琴
gfx	高風險	規範性
gih	國產化	工程化
gij	歌唱家	工程機	更持久
giu	工程師	剛出生
giw	剛喫完	廣場舞
gji	公交車	拐角處
gjj	公積金	高精尖	更接近
gjz	關鍵字	估計在
gkj	高科技	光刻機
gks	公開賽	更快速
gkx	公開信	更科學
gln	過兩年	給了你
glr	過來人	管理人
gmq	公民權	冠名權	給母親
gmv	革命者	擀麪杖	購買者
gmx	革命性	過敏性	更明顯
gnd	高難度	高濃度
gnn	姑奶奶	狗男女
gnq	更年期	更年輕
gnw	國內外	歸納爲
gnx	功能性	概念性
gpg	狗皮膏	光屁股
gpi	跟屁蟲	龔鵬程
gpx	公平性	光譜線	幹趴下
gqd	高強度	過去的
gqi	搞清楚	更清楚
gqj	國慶節	宮崎駿
gql	過去了	公權力	供求率
gqm	鬼敲門	更全面
gqt	共青團	跟其他
gqx	觀其行	高清晰	公切線
gtb	改天吧	鋼鐵般
gtc	感嘆詞	光塗層
gtd	共同點	光頭黨
gtf	過堂風	刮颱風
gth	個體戶	感嘆號
gti	共同處	鋼鐵廠	更突出
gtj	更貼近	國土局
gtl	光通量	改天聊	古天樂
gtn	管他呢	光頭男
gts	古銅色
gvh	公衆號
gwb	公文包	給我爸
gwu	個位數	跟我說
gwy	公務員	國務院
gyd	高壓電	過一段	高一點
gyj	工業界	冠亞軍	公益金
gyp	工藝品	工業品
gyq	公元前	工業區	更有趣
gyv	公有制	更嚴重	過一陣
gyx	改一下	公益性	高壓線
gyy	歸因於	更願意
hax	海岸線	海安縣
hbb	漢堡包	好爸爸
hbc	還不錯	黑板擦	很不錯
hbf	好辦法	環保法
hbg	還不夠	很寶貴
hbj	還比較	環保局
hbk	還包括	還不快
hbq	回不去	很抱歉
hbr	還不如	河北人	湖北人
hbt	好半天	赫伯特
hbu	河北省	湖北省	紅寶石
hbv	還不止	和幫助
hbw	花不完	還被我
hby	後半夜	好榜樣	很必要
hdc	喝倒彩	好多次	很多次
hdh	劃等號	好得很	鶴頂紅
hdn	很多年	好多年	華達呢
hdr	很多人	好多人
heb	哈爾濱	好二本
hfl	恢復了	核廢料	花費了
hgd	好感度	哈工大	花骨朵
hgh	回個話	會更好
hgq	昏過去	好歌曲
hgv	合格證	會跟着
hhf	換行符	後恢復	何海峯
hhj	黑胡椒	哈哈鏡	化合價
hhr	合夥人	會很熱
hhy	後悔藥	混合泳	還會有
hhz	好孩子	還會在
hid	好喫的	漢成帝
hif	好處費	很充分
hih	護城河	火柴盒
hii	昏沉沉	洪承疇
hij	回車鍵	很常見
hiu	候車室	火車上
hiv	火車站	懷揣着
hjn	好幾年	海軍呢
hkb	戶口本	戶口簿	很恐怖
hkj	黑科技	航空局	海空軍
hky	還可以	航空業
hlg	火龍果	後兩個
hlm	紅樓夢	好了嗎
hlp	黃臉婆	很離譜
hmb	毫米波	壞毛病	很明白
hmc	花名冊	好名次
hmf	很麻煩	好麻煩
hmg	哈密瓜	黑命貴	很敏感
hmm	灰濛濛	很迷茫
hmq	回馬槍	很勉強
hms	紅黴素	還沒死
hmx	很明顯	毀滅性	黃梅戲
hnd	海南島	很難得
hnj	回孃家	混凝劑	很難記
hnt	混凝土	懷念他
hnu	後腦勺	河南省	湖南省
hnz	哈尼族	還能在
hpg	和平鴿	黑蘋果
hpj	黃浦江	喝啤酒
hpm	海平面	和平門
hpp	紅撲撲	灰撲撲
hpy	好朋友	很便宜
hqd	何其多	很強大
hqi	很清楚	好去處
hql	回去了	合情理	喝起來
hqq	黑漆漆	黑黢黢	很親切
hqt	核潛艇	或其他
hqu	換氣扇	黃秋生
htc	回頭草	活土層	花田錯
hte	黑天鵝	好天兒	合同額
htg	合同工	猴頭菇	還提供
hth	皇太后	很聽話
htj	航天局	回頭見	回趟家
htk	回頭客	黃銅礦	很痛苦
htl	滑鐵盧	回頭率	回頭路
htr	核桃仁	火腿肉	後腿肉
htt	活脫脫	紅彤彤
htu	合同書	火頭上	和同事
htw	橫條紋	回頭望
htz	皇太子	黑體字
huj	後視鏡	花時間
hur	紅燒肉	很少人	花生仁
hwg	和爲貴	宏微觀
hwn	哈瓦那	很無奈
hwq	核武器	婚外情
hwx	紅外線	海王星
hwy	畫外音	還未有
hxb	還行吧	迴旋鏢	滑雪板
hxl	候選欄	活下來
hyb	很一般	紅眼病	喝一杯
hyf	婚姻法	會議費	換衣服
hyh	緩一緩	歡迎會	很遺憾
hyl	回憶錄	歡迎來
hyq	黑眼圈	紅纓槍	話語權
hzh	洪澤湖	很在乎
ibb	喫不飽	場不敗
ibf	喫白飯	喫飽飯
ibi	喫不喫	查不出
ibk	喫不開	儲備庫
ibv	撐不住	傳播者
ibx	喫不消	喫不下	傳播學
icy	喫錯藥	常採用
idd	沉甸甸	傳動帶	徹底的
idk	喫得開	喫大虧
idl	喫多了	喫得來	喫到了
idq	充電器	超短裙	稱得起
idx	喫得下	喫得消	喫東西
ifl	喫飯了	長方臉	重複率
ifq	衝鋒槍	喫飯去
igs	車管所	常規賽	喫官司
iiq	傳出去	衝出去
ijt	長鏡頭	腸絞痛
ijv	持久戰	創建者
ikb	觸控板	觸控筆
ikg	長寬高	陳凱歌
ikt	創可貼	創口貼
ilf	炒冷飯	差旅費
ili	查了查	戳了戳	嚐了嚐
ilp	處理品	陳列品
ilq	處理器	成立前
ilv	車輪戰	創立者
imd	崇明島	長明燈
imm	重命名	撐門面
imp	觸摸屏	炒麪片
imu	觸摸式	場面上
imv	充滿着	沉默着
imy	沉迷於	沉湎於
inb	吹牛逼	朝那邊
inj	剎那間
inl	超能力	喫膩了
inm	處女膜	腸黏膜
inr	成年人	喫牛肉
inz	處女作	處女座
iqu	重慶市	常青樹
iqw	出去玩
itn	出頭鳥
itt	赤條條	嘗甜頭
itx	長筒靴	超脫性	穿透性
ity	差太遠	初體驗
ivb	成正比	初中部
iwf	喫完飯	成文法	喫午飯
iwh	常委會	喫完後
iwj	儲物間	出外景
iwt	出問題	成問題
iww	顫巍巍	成爲我
iwx	儲物箱	常溫下
ixf	喫閒飯	穿校服
ixl	出現了	持續了
ixq	喫下去	出線權	沉下去
ixs	儲蓄所	長相思
iyb	創業板	喫一半
iys	超音速	朝陽寺
izl	創造力	創造了
jav	緊挨着	就按照
jbf	加班費	基本法
jcc	急匆匆	金燦燦	決策層
jcl	記錯了	就慘了
jdd	嬌滴滴	簡單的
jdf	借貸方	京東方
jdj	基督教	教大家
jdl	講道理	幾點了	驚呆了
jdq	經得起	決定權
jdu	絕對是	簡單說
jdx	階段性	決定性
jdy	就等於	筋斗雲	就讀於
jeg	就是個	今兒個	飢餓感
jfp	警匪片	假髮票
jfq	解放前	就放棄
jft	激發態	簡繁體
jfu	假分數	緊膚水	教輔書
jfv	幾分鐘	肩負着	夾縫中
jfx	見分曉	積分學	就發現
jgj	擠公交	據估計	肩關節
jgl	見鬼了	舉個例	見慣了
jgm	見個面	見過面
jgn	結果呢	就給你
jgp	機關炮	激光炮	截個屏
jgu	金剛石	井岡山	結果是
jgw	甲骨文	就給我
jgz	幾個字	金龜子	金剛鑽
jhb	就好比	結核病	幾乎不
jhg	腳後跟	將會給
jhi	救護車	交匯處	菊花茶
jhj	交換機	就回家
jhm	激活碼	接合面	幾乎每
jhr	監護人	江湖人
jht	交換臺	結合體
jjc	經濟艙	芨芨草	荊棘叢
jjf	加減法	激將法	經濟法
jjg	肩胛骨	精加工
jji	競技場	交界處	就經常
jjk	借記卡	淨進口	幾節課
jjl	解決了	經濟林	進給量
jjm	金駿眉	解解悶	假睫毛
jjn	近幾年	嬌嬌女
jjr	經紀人	節假日
jjs	晉級賽	警戒色	急加速
jjt	近幾天	加雞腿	經濟體
jnp	紀念品	加農炮
jqn	幾千年	禁區內
jqx	進取心	交強險
jru	假如說	盡人事	既然是
jry	金融業	就容易
jtg	晶體管	就通過
jui	寄生蟲	急剎車	諫山創
jvf	駕照分	軍政府	雞爪瘋
jvj	假正經	就直接
jvk	急診科	賈樟柯
jvm	就這麼	家長們
jvr	截止日	見證人
jvt	晶狀體	腳趾頭	幾張圖
jvv	居住證	競爭者
jwb	巨無霸	教務部
jwd	經緯度	建文帝
jwh	居委會	酒文化
jwj	雞尾酒	禁衛軍
jwl	就爲了	就完了
jwn	幾萬年	較往年
jwr	局外人	幾萬人
jwu	家務事	今晚上
jwv	健忘症	絕望中
jwx	加微信	基圍蝦	經緯線
jwy	寄望於	幾萬元
jxp	教學片	荊霄鵬
jxy	僅限於	交響樂	就需要
jys	交易所	解壓縮
jyz	基因組	建議在	腳丫子
jzb	尖子班	極座標	酒糟鼻
jzj	劇作家	就自己
jzt	金字塔	就在他
jzy	就在於	就再也
kbd	看不懂	看不到
kbg	看不慣	看不過	看病貴
kbj	看不見	可不就
kbk	看不看	肯不肯	看不開
kbl	快不了	看不了
kbp	恐怖片	快步跑
kbv	扛不住	靠不住
kbx	可比性	可不行
kby	可不要	空白頁
kdd	看得懂	空蕩蕩	肯定的
kdg	看得慣	快遞櫃	看到過
kdi	看得出	刻度尺	開倒車
kdl	看到了	看多了	口袋裏
kdq	看得起	看得清
kdu	看電視	看得上	肯定是
kdv	靠得住	扛得住
kdy	快遞員	看電影	肯定有
kfq	開發區	開放區
kfu	開發商	開放式
kfx	開放性	扣分項	抗風險
kfy	咖啡因	口服液
kfz	開發組	孔夫子
kgb	克格勃	可改變
kgv	恐高症	恐鬼症
khp	科幻片	看黃片
khz	葵花籽	看孩子
kib	開場白	課程表
kid	快車道	考察隊	可恥的
kij	空城計	抗衝擊
kix	可持續	開創性
kjl	看見了	科技類
kkx	可靠性	可控性
kli	可憐蟲	刻錄成
kmg	看門狗
kmh	開門紅	看漫畫
kml	喀麥隆	卡米拉
kmz	扣帽子	可滿足
knh	困難戶	可能會
knl	困難了	看膩了
knm	可能嗎	靠你們
knx	可能性	康乃馨	看那些
kpl	堪培拉	開闢了
kqi	看清楚	空氣錘	開汽車
kqu	礦泉水	喀秋莎
krn	看熱鬧	可容納
ksx	可塑性	擴散性
kte	卡塔爾	卡特爾
kth	客套話	開通後
ktu	口頭上	課堂上
kty	口頭語	看太陽
kuh	可視化	口水話
kui	瞌睡蟲	開始唱
kuq	看上去	開始前
kwb	勘誤表	枯萎病
kwj	礦務局	庫文件
kwt	科威特	看問題
kwv	礦物質	渴望着
kxc	空心菜
kxi	開小差	科學城
kxu	虧心事	看小說
kxx	可行性	科學性
kyb	看一遍	可以把
kyd	快一點	可疑的
kyv	客運站	可以轉
lbh	老本行	喇叭花	羅賓漢
lbn	老闆娘	黎巴嫩
lbp	羅布泊	兩邊跑
lbt	老半天	禮拜天	羅伯特
lcw	另存爲
ldg	老大哥	懶得管
ldk	離得開	來得快
ldn	老大難	老大娘
ldq	懶得去	領導權
ldx	流動性	領導下
ldy	老大爺	老掉牙	羅大佑
lfl	浪費了	劉弗陵
lft	立方體	龍鳳胎
lfv	兩分鐘	來訪者
lgb	兩個半	老幹部
lgd	老古董	連鍋端	樂觀的
lgg	老公公	老光棍
lgh	瀘沽湖	李國豪
lgj	老規矩	老管家
lgk	理工科	來概括
lgr	兩個人	六個人
lgv	兩個鍾	羅貫中
lgy	兩個月	略高於	六個月
lhb	領紅包	龍虎榜	厲害吧
lhu	兩回事	老和尚	留後手
lhx	靈活性	輪滑鞋	梁慧星
lhy	老花眼	林徽因
lji	龍井茶	零基礎	垃圾場
ljq	立交橋	拉進羣	瞭解其
ljt	垃圾桶	領獎臺
lkq	冷空氣	兩塊錢
lku	流口水	理科生
